Description	Resource	Path	Location	Type
The method validarCedula(String) from the type ValidadorPersonal refers to the missing type PersonalException	Principal.java	/contexto5.0/src/co/edu/poli/contexto5/vista	line 149	Java Problem
The method validarCedula(String) from the type ValidadorPersonal refers to the missing type PersonalException	Principal.java	/contexto5.0/src/co/edu/poli/contexto5/vista	line 199	Java Problem
The method validarCargo(String) from the type ValidadorPersonal refers to the missing type PersonalException	Principal.java	/contexto5.0/src/co/edu/poli/contexto5/vista	line 78	Java Problem
The method validarCargo(String) from the type ValidadorPersonal refers to the missing type PersonalException	Principal.java	/contexto5.0/src/co/edu/poli/contexto5/vista	line 163	Java Problem
The import co.edu.poli.contexto5.excepciones cannot be resolved	Principal.java	/contexto5.0/src/co/edu/poli/contexto5/vista	line 3	Java Problem
The import co.edu.poli.contexto5.excepciones cannot be resolved	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 3	Java Problem
The declared package "co.edu.poli.contexto5.excepciones" does not match the expected package "excepciones"	Personalexception.java	/contexto5.0/src/excepciones	line 1	Java Problem
PersonalException cannot be resolved to a type	Principal.java	/contexto5.0/src/co/edu/poli/contexto5/vista	line 91	Java Problem
PersonalException cannot be resolved to a type	Principal.java	/contexto5.0/src/co/edu/poli/contexto5/vista	line 128	Java Problem
PersonalException cannot be resolved to a type	Principal.java	/contexto5.0/src/co/edu/poli/contexto5/vista	line 177	Java Problem
PersonalException cannot be resolved to a type	Principal.java	/contexto5.0/src/co/edu/poli/contexto5/vista	line 203	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 33	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 35	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 39	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 43	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 61	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 63	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 67	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 72	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 90	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 92	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 96	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 100	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 115	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 117	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 133	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 136	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 153	Java Problem
PersonalException cannot be resolved to a type	Validadorpersonal.java	/contexto5.0/src/co/edu/poli/contexto5/servicios	line 155	Java Problem
